predictor	pval
neither	2e-16
target	2e-16
foil	2e-16
adj	0.891592
idn	0.502238
thr	0.006021
adj:idn	0.000219
adj:thr	0.504529
idn:thr	0.291859
adj:idn:thr	0.548292
target:adj	0.136055
target:idn	0.206025
target:thr	2e-16
target:adj:idn	2e-16
target:adj:thr	0.090658
target:idn:thr	0.363740
target:adj:idn:thr	0.358773
foil:adj	4.99e-06
foil:idn	0.735830
foil:thr	0.000191
foil:adj:idn	0.000606
foil:adj:thr	0.547464
foil:idn:thr	0.611938
foil:adj:idn:thr	0.489172
